tconst,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname
tt0172949,Party Crasher: My Bloody Birthday,2000,91.0,Horror,1,actor,3.8,81,Randy Ackerman
tt0172995,Play Dead,2001,79.0,Comedy,1,actress,5.4,205,Diva Zappa
tt0173568,The Sexy Mysterious Murders,2000,75.0,Thriller,1,actor,6.3,372,Michael Chomiak
tt0175114,Retiring Tatiana,2000,108.0,Comedy,1,actor,7.3,27,Tony Winters
tt0175142,Scary Movie,2000,88.0,Comedy,1,actress,6.2,253547,Anna Faris
tt0176185,The Story of O: Untold Pleasures,2002,98.0,Drama,1,actress,4.4,295,Danielle Ciardi
tt0176244,Tripfall,2000,91.0,Thriller,1,actor,3.9,451,Eric Roberts
tt0176650,Delta Force One: The Lost Patrol,2000,93.0,Action,1,actor,2.7,513,Gary Daniels
tt0177650,Company Man,2000,95.0,Comedy,1,actor,5.2,2082,Douglas McGrath
tt0177845,Hotel Splendide,2000,98.0,Comedy,1,actress,6.3,1305,Toni Collette
tt0177885,Killer Bud,2001,92.0,Comedy,1,actor,4.5,477,Corin Nemec
tt0177997,Women of the Night,2001,97.0,Thriller,1,actress,3.9,348,Shawnee Free Jones
tt0178642,The Invisible Circus,2001,93.0,Drama,1,actress,5.5,3064,Jordana Brewster
tt0179144,Dean Quixote,2000,90.0,Comedy,1,actor,6.0,56,Brian Poth
tt0179400,Out of Depth,2000,100.0,Thriller,1,actor,5.8,69,Sean Maguire
tt0179653,Astoria,2000,103.0,Drama,1,actor,7.0,74,Rick Stear
tt0179803,Angels with Angles,2005,87.0,Comedy,1,actress,5.1,146,Julie Carmen
tt0180093,Requiem for a Dream,2000,102.0,Drama,1,actress,8.3,816849,Ellen Burstyn
tt0181536,Finding Forrester,2000,136.0,Drama,1,actor,7.3,85747,Sean Connery
tt0182027,The Cure for Boredom,2001,87.0,Comedy,1,actress,5.9,81,Sunda Croonquist
tt0182508,Urbania,2000,103.0,Drama,1,actor,6.9,3066,Dan Futterman
tt0183113,Gentleman B.,2000,89.0,Thriller,1,actor,5.2,88,Ed Lauter
tt0183423,Love Beat the Hell Outta Me,2000,89.0,Drama,1,actor,3.9,117,Glenn Plummer
tt0183505,"Me, Myself & Irene",2000,116.0,Comedy,1,actor,6.6,234140,Jim Carrey
tt0184009,What I Like About You,2000,90.0,Comedy,1,actress,6.0,34,Marie Black
tt0184384,A Day in Black and White,2001,80.0,Drama,1,actor,6.8,126,Harold Perrineau
tt0184719,Maryam,2002,87.0,Drama,1,actress,6.8,292,Mariam Parris
tt0186029,Dirk and Betty,2000,92.0,Comedy,1,actress,4.8,77,Pamela Adlon
tt0186221,A House by the Sea,2000,93.0,Drama,1,actress,7.8,18,Susan Estes
tt0186719,The Young Unknowns,2000,87.0,Drama,1,actor,4.1,206,Devon Gummersall
tt0187559,Playing Mona Lisa,2000,97.0,Comedy,1,actress,5.9,841,Alicia Witt
tt0187847,Fear of Fiction,2000,99.0,Drama,1,actress,6.6,43,Melissa Leo
tt0188045,Magicians,2000,108.0,Comedy,1,actor,5.4,291,Til Schweiger
tt0188490,Catalina Trust,2000,92.0,Drama,1,actor,6.7,84,Jay Harrington
tt0190398,Flight of Fancy,2000,96.0,Family,1,actress,4.9,219,Talisa Soto
tt0190736,Sand,2000,89.0,Drama,1,actor,4.2,594,Michael Vartan
tt0191242,The Last Stop,2000,94.0,Thriller,1,actor,5.1,612,Adam Beach
tt0191476,Fed Up,2015,93.0,Comedy,1,actor,6.0,140,Horatiu Malaele
tt0192110,Head Games,2001,90.0,Thriller,1,actor,7.8,39,Josh Burrow
tt0192346,Shadows of Memories,2000,122.0,Drama,1,actor,6.7,62,Velimir 'Bata' Zivojinovic
tt0192528,Heaven & Hell,2018,104.0,Drama,1,actress,4.1,111,Cheryl M. Lynn
tt0192912,Married 2 Malcolm,2000,76.0,Comedy,1,actor,4.2,116,Mark Addy
tt0193011,Black Ball,2003,80.0,Drama,1,actor,5.2,51,Stoney Jackson
tt0193365,Orphan,2001,99.0,Drama,1,actor,7.2,28,Marty Maguire
tt0193598,Unforeseen,2002,80.0,Thriller,1,actor,6.5,22,Steve Parlavecchio
tt0194410,The Stray,2000,90.0,Thriller,1,actor,4.2,412,Michael Madsen
tt0194519,We Married Margo,2000,85.0,Comedy,1,actor,6.8,367,William Dozier
tt0195108,Lies... In Love,2001,97.0,Comedy,1,actor,7.3,8,Greg Shamie
tt0195857,Kin,2000,89.0,Drama,1,actress,5.2,145,Miranda Otto
tt0195860,Knockout,2000,110.0,Drama,1,actor,5.3,54,Örjan Landström
tt0195945,Next Friday,2000,98.0,Comedy,1,actor,6.1,39978,Ice Cube
tt0196229,Zoolander,2001,90.0,Comedy,1,actor,6.5,259979,Ben Stiller
tt0197996,Vampires Anonymous,2003,88.0,Comedy,1,actor,5.1,438,Paul Popowich
tt0198013,29 and Holding,2004,89.0,Comedy,1,actor,8.8,17,Morgan Simpson
tt0198748,Mergers & Acquisitions,2001,90.0,Comedy,1,actor,7.5,78,Steven Chester Prince
tt0199129,The Visit,2000,107.0,Drama,1,actor,6.3,270,Obba Babatundé
tt0199290,3 Strikes,2000,82.0,Comedy,1,actor,4.6,3473,Brian Hooks
tt0199602,Holy Hollywood,2021,82.0,Comedy,1,actor,6.6,33,Tony Leech
tt0200427,Diamond Men,2000,100.0,Drama,1,actor,6.9,1724,Robert Forster
tt0200525,The Chameleon,2001,90.0,Thriller,1,actor,6.3,25,Seymour Cassel
tt0200954,Totally Blonde,2001,94.0,Comedy,1,actress,3.7,933,Krista Allen
tt0201020,The Rising Place,2001,93.0,Drama,1,actor,6.4,201,Liam Aiken
tt0201275,True Rights,2000,101.0,Drama,1,actress,7.7,55,Claudia Christian
tt0201899,A Rumor of Angels,2000,106.0,Drama,1,actress,6.8,1555,Vanessa Redgrave
tt0201901,Just One Night,2000,90.0,Comedy,1,actor,5.5,317,Timothy Hutton
tt0202294,Childhood,2001,85.0,Drama,1,actress,7.2,68,Tara Fitzgerald
tt0202458,Love.com,2002,85.0,Thriller,1,actor,2.0,179,Stan Abe
tt0202487,My Next Funeral,2000,77.0,Comedy,1,actress,7.7,24,Anne Apra
tt0202695,Numb,2003,77.0,Sci-Fi,1,actress,5.4,77,Jennifer West Savitch
tt0202711,Swimming,2000,98.0,Drama,1,actress,6.4,920,Lauren Ambrose
tt0202989,Intern,2000,90.0,Comedy,1,actress,4.5,656,Dominique Swain
tt0203047,Overnight Sensation,2000,90.0,Comedy,1,actor,6.3,84,Sean Dugan
tt0203144,Something Sweet,2000,100.0,Drama,1,actress,6.6,17,Lauren Stamile
tt0203206,The Wise Ones,2001,79.0,Comedy,1,actor,8.2,10,David Meyers
tt0203230,You Can Count on Me,2000,111.0,Drama,1,actress,7.5,29717,Laura Linney
tt0203584,A Neapolitan Spell,2002,82.0,Comedy,1,actress,6.3,237,Marina Confalone
tt0203912,Sin's Kitchen,2004,91.0,Drama,1,actor,5.2,92,Jeffrey Wright
tt0203952,Straight Out of Compton,2003,80.0,Crime,1,actor,4.5,144,Ryan Combs
tt0204382,Home Sweet Hoboken,2000,92.0,Comedy,1,actor,7.2,32,Ben Gazzara
tt0204885,Being Considered,2000,80.0,Comedy,1,actor,5.7,91,James Dreyfus
tt0205418,The Smokers,2000,96.0,Thriller,1,actress,2.9,2817,Dominique Swain
tt0205526,Wildflower,2000,92.0,Thriller,1,actress,3.7,173,C.C. Costigan
tt0206075,The King's Guard,2000,92.0,Adventure,1,actor,3.4,570,Eric Roberts
tt0206088,Bundle of Joy,2000,91.0,Comedy,1,actress,6.2,342,Mavie Hörbiger
tt0206098,Alma Mater,2002,80.0,Drama,1,actor,6.8,65,Alexander Chaplin
tt0206211,A Pocket Full of Dreams,2001,100.0,Drama,1,actor,7.6,10,Mohan Agashe
tt0206223,Press Run,2000,93.0,Thriller,1,actor,4.2,143,Patrick Bergin
tt0206545,Along for the Ride,2000,99.0,Drama,1,actor,7.3,61,Randall Batinkoff
tt0206694,Somewhere in the Night,2000,90.0,Drama,1,actress,6.7,48,Ana María Acevedo
tt0206778,2 Birds with 1 Stallone,2002,76.0,Drama,1,actor,6.5,68,Bret Carr
tt0207337,The Big Thing,2000,90.0,Comedy,1,actor,4.4,29,Bryan Cranston
tt0207635,Ocean Park,2002,100.0,Thriller,1,actor,6.4,61,Kenneth Hughes
tt0207638,Here's to Life!,2000,94.0,Drama,1,actor,5.8,129,Eric McCormack
tt0207988,The Sleepy Time Gal,2001,108.0,Drama,1,actress,6.0,406,Jacqueline Bisset
tt0208889,To and Fro,2000,92.0,Drama,1,actor,7.0,65,Gerardo Taracena
tt0208899,Diary of a City Priest,2001,77.0,Drama,1,actor,5.6,179,David Morse
tt0208910,The Doghouse,2000,93.0,Thriller,1,actor,7.9,22,Matthew Del Negro
tt0208911,The King Is Alive,2000,110.0,Drama,1,actor,6.3,1927,Miles Anderson
tt0208990,The Son's Room,2001,99.0,Drama,1,actor,7.3,19822,Nanni Moretti
tt0209020,Dying on the Edge,2001,85.0,Drama,1,actor,4.4,74,John Heard
tt0209077,Ken Park,2002,93.0,Drama,1,actor,5.8,29661,Adam Chubbuck
tt0209109,Fourplay,2001,87.0,Comedy,1,actor,4.9,680,Mike Binder
tt0209279,Return to the Secret Garden,2000,90.0,Family,1,actress,5.5,167,Mercedes Kastner
tt0209941,The Good Bastard,2001,130.0,Drama,1,actor,6.2,86,Diego Bertie
tt0210094,Happy Campers,2001,94.0,Comedy,1,actor,5.4,2750,Brad Renfro
tt0210149,Lakeboat,2000,98.0,Drama,1,actor,6.0,701,Charles Durning
tt0210776,Johnny Famous,2000,80.0,Drama,1,actor,6.0,40,Jon Jacobs
tt0210816,Looking for Jimmy,2002,90.0,Drama,1,actress,4.9,181,Emily Wagner
tt0210952,Ritual,2000,78.0,Drama,1,actor,5.7,92,Clarence Williams III
tt0211279,Runners,2001,90.0,Drama,1,actor,7.1,20,Theo Nicholas Pagones
tt0211296,Chasing the Dragon,2000,120.0,Drama,1,actress,6.9,31,Lisa Marie
tt0211423,House of the Generals,2003,111.0,Drama,1,actress,7.2,21,Farah White
tt0211941,Beat,2000,93.0,Drama,1,actress,5.5,1536,Courtney Love
tt0212215,A Place Nearby,2000,100.0,Drama,1,actress,6.1,253,Ghita Nørby
tt0212292,Kwik Stop,2001,110.0,Comedy,1,actor,6.8,226,Michael Gilio
tt0212294,Lady in the Box,2001,105.0,Mystery,1,actor,6.1,138,Darren E. Burrows
tt0212360,Moving August,2002,96.0,Comedy,1,actor,6.3,76,Eddie McClintock
tt0212495,La segunda noche,2001,105.0,Drama,1,actress,5.1,273,Irán Castillo
tt0212604,Tully,2000,102.0,Drama,1,actor,7.3,1918,Glenn Fitzgerald
tt0212719,75 Degrees in July,2000,100.0,Drama,1,actress,5.9,124,Shirley Knight
tt0212826,Bread and Roses,2000,110.0,Drama,1,actress,7.0,5662,Pilar Padilla
tt0212873,Cicadas,2000,90.0,Drama,1,actress,7.3,103,Lindsay Broockman
tt0213266,The Streetsweeper,2002,105.0,Drama,1,actor,7.2,37,Paul Michael
tt0213446,The Amati Girls,2000,91.0,Drama,1,actress,5.0,472,Cloris Leachman
tt0213642,Fall: The Price of Silence,2001,97.0,Action,1,actor,3.4,511,Michael Madsen
tt0213790,The Ladies Man,2000,84.0,Comedy,1,actor,5.1,13132,Tim Meadows
tt0214032,The Rage Within,2001,98.0,Action,1,actor,5.8,59,Fred Williamson
tt0214106,Sensual Friends,2001,93.0,Drama,1,actor,4.3,137,Jarod Carey
tt0214140,Skeleton Woman,2000,80.0,Drama,1,actress,8.1,36,Serena Scott Thomas
tt0214520,Ties and Ropes,2001,85.0,Drama,1,actor,5.7,83,Marc Duret
tt0214638,Doomsdayer,2000,93.0,Action,1,actor,3.5,328,Joe Lara
tt0214646,Dropping Out,2000,109.0,Comedy,1,actor,5.9,153,Kent Osborne
tt0214757,Held for Ransom,2000,88.0,Thriller,1,actor,4.5,484,Dennis Hopper
tt0215129,Road Trip,2000,93.0,Comedy,1,actor,6.5,167227,Breckin Meyer
tt0215232,Table One,2000,90.0,Comedy,1,actor,5.0,240,Chuck Zito
tt0215681,Crazy,2000,97.0,Drama,1,actor,6.6,4159,Robert Stadlober
tt0215727,Downward Angel,2001,97.0,Thriller,1,actor,4.4,131,Matt Schulze
tt0216105,Postmark Paradise,2000,92.0,Comedy,1,actress,6.5,111,Tantoo Cardinal
tt0216290,To Protect and Serve,2001,91.0,Comedy,1,actor,7.1,37,Matthew Ansara
tt0216417,The Wog Boy,2000,92.0,Comedy,1,actor,5.7,2086,Nick Giannopoulos
tt0216625,Code Unknown,2000,118.0,Drama,1,actress,7.1,13551,Juliette Binoche
tt0216669,The Day the Ponies Come Back,2000,104.0,Drama,1,actor,6.3,95,Guillaume Canet
tt0216837,"It's Alright Ma, I'm Only Trying",2000,87.0,Drama,1,actor,8.4,23,Chris Jaymes
tt0216841,Jet Set,2000,106.0,Comedy,1,actor,4.1,1032,Samuel Le Bihan
tt0216930,My 5 Wives,2000,100.0,Comedy,1,actor,4.7,1722,Rodney Dangerfield
tt0216990,Leaving No Trace,2000,109.0,Drama,1,actress,6.7,442,Aitana Sánchez-Gijón
tt0217031,Second to Die,2002,89.0,Thriller,1,actress,4.9,385,Erika Eleniak
tt0217287,Boricua's Bond,2000,105.0,Drama,1,actor,3.6,292,Frankie Negron
tt0217621,The List,2000,93.0,Thriller,1,actor,4.7,422,Ryan O'Neal
tt0217664,Morning,2001,89.0,Drama,1,actor,7.5,40,Kieran Mulroney
tt0217787,Searching for Paradise,2002,88.0,Drama,1,actress,5.5,201,Susan May Pratt
tt0217788,Secret Society,2000,98.0,Comedy,1,actress,5.3,178,Charlotte Brittain
tt0217824,Goodbye Charlie Bright,2001,87.0,Drama,1,actor,6.3,1691,Paul Nicholls
tt0218032,The Beatnicks,2001,98.0,Comedy,1,actor,5.3,192,Norman Reedus
tt0218053,Black Friday,2001,95.0,Action,1,actor,3.1,230,Gary Daniels
tt0218112,American Women,2000,93.0,Comedy,1,actor,6.2,1469,Ian Hart
tt0218138,Dead Babies,2000,101.0,Comedy,1,actor,4.6,828,Paul Bettany
tt0218140,Death and Taxis,2007,89.0,Drama,1,actor,8.7,35,James Y. Jones
tt0218182,An Everlasting Piece,2000,103.0,Comedy,1,actor,6.2,1680,Barry McEvoy
tt0218581,Scarlet Diva,2000,91.0,Drama,1,actress,5.0,2543,Asia Argento
tt0218641,Submerged,2000,95.0,Action,1,actor,3.1,790,Coolio
tt0218839,Best in Show,2000,90.0,Comedy,1,actor,7.5,61115,Fred Willard
tt0219223,The Detour,2000,98.0,Drama,1,actress,4.9,53,Therese Affolter
tt0219272,Redemption of the Ghost,2002,111.0,Drama,1,actor,5.2,222,Gene Bicknell
tt0219288,Loners,2000,103.0,Comedy,1,actress,7.5,2999,Labina Mitevska
tt0219333,Suspicious River,2000,92.0,Drama,1,actress,5.7,832,Molly Parker
tt0219336,Scandal: 15 Minutes of Fame,2001,92.0,Crime,1,actress,5.5,96,Regina Russell Banali
tt0219338,Tattoo Bar,2000,90.0,Drama,1,actor,4.7,46,Alexis Valdés
tt0219469,Above Suspicion,2000,92.0,Drama,1,actor,5.7,413,Scott Bakula
tt0219636,Dancing in September,2000,107.0,Drama,1,actress,6.2,473,Tichina Arnold
tt0219687,Flossin,2001,78.0,Drama,1,actress,7.3,58,Jonelle Allen
tt0220005,Reunion,2001,94.0,Drama,1,actor,5.8,89,Billy Wirth
tt0220322,B Movie,2004,74.0,Comedy,1,actor,7.3,29,Danny Cleary
tt0220332,Beyond the Ocean,2000,89.0,Drama,1,actress,6.0,49,Dasha Volga
tt0220371,Duplicity,2004,90.0,Crime,1,actress,5.3,37,Kristina Bill
tt0220607,Last Seen,2002,77.0,Mystery,1,actress,6.0,9,Amanda Detmer
tt0220627,Maelstrom,2000,87.0,Drama,1,actress,6.8,6102,Marie-Josée Croze
tt0220651,To Die (Or Not),2000,89.0,Drama,1,actress,6.7,323,Carme Elias
tt0220652,The Most Fertile Man in Ireland,2000,96.0,Comedy,1,actor,5.3,597,Kris Marshall
tt0221013,Séraphin: Heart of Stone,2002,110.0,Drama,1,actor,6.6,1039,Pierre Lebeau
tt0221559,On the Edge,2001,85.0,Drama,1,actor,6.9,4284,Cillian Murphy
tt0221563,Sorted,2000,102.0,Thriller,1,actor,6.0,1180,Matthew Rhys
tt0221799,An American Rhapsody,2001,106.0,Drama,1,actress,6.8,4299,Nastassja Kinski
tt0221837,Borderline Normal,2001,85.0,Drama,1,actor,6.2,278,Robin Dunne
tt0222375,"Sleep Easy, Hutch Rimes",2000,99.0,Thriller,1,actor,5.7,269,Steven Weber
tt0222705,All Over Again,2001,99.0,Drama,1,actor,5.2,125,Ean Mering
tt0223284,Final Payback,2001,92.0,Action,1,actor,3.5,211,Richard Grieco
tt0223897,Pay It Forward,2000,123.0,Drama,1,actor,7.2,118067,Kevin Spacey
tt0223911,Sex Files: Creating the Perfect Man,2000,83.0,Fantasy,1,actor,4.9,84,Daniel D. Anderson
tt0223954,The Prime Gig,2000,98.0,Drama,1,actor,6.0,2244,Vince Vaughn
tt0224084,Scandal: Sex@students.edu,2001,82.0,Drama,1,actress,5.6,107,Mia Zottoli
tt0224086,Sex Files: Sexual Matrix,2000,80.0,Drama,1,actor,3.6,212,Jason Schnuit
tt0224578,The Vertical Ray of the Sun,2000,112.0,Drama,1,actress,7.2,3767,Nu Yên-Khê Tran
tt0225518,The Discontents,2004,90.0,Drama,1,actor,8.0,35,Andrew Jackson
tt0226094,Love Come Down,2000,99.0,Drama,1,actor,5.8,314,Larenz Tate
tt0226351,Pixie Panic,2000,85.0,Family,1,actor,4.3,202,Jan Linnebjerg
tt0226498,A Sudden Loss of Gravity,2000,90.0,Drama,1,actress,5.9,56,Philly Abe
tt0226591,Via Dolorosa,2000,99.0,Drama,1,actor,7.5,57,David Hare
tt0226935,Chelsea Walls,2001,109.0,Drama,1,actress,4.9,2140,Paz de la Huerta
tt0227200,Operation Delta Force 5: Random Fire,2000,91.0,Action,1,actor,3.3,401,Trae Thomas
tt0227671,Tortilla Heaven,2007,98.0,Comedy,1,actor,5.3,438,José Zúñiga
tt0228121,Catacombs,2000,89.0,Horror,1,actor,3.2,157,Abe Dyer
tt0228214,Dexter Dickie,2000,88.0,Comedy,1,actor,7.4,10,Lonnie Quinn
tt0228277,Everything Put Together,2000,87.0,Drama,1,actress,6.3,753,Radha Mitchell
tt0228536,Lovely Rita,2001,79.0,Drama,1,actress,5.9,516,Barbara Osika
tt0228690,Outlaw Prophet,2001,90.0,Sci-Fi,1,actor,2.8,176,David Heavener
tt0228720,Ping!,2000,93.0,Comedy,1,actor,4.1,280,Judge Reinhold
tt0228878,Social Misfits,2001,115.0,Drama,1,actor,3.5,114,Tyrone Tann
tt0228889,Spin Cycle,2000,88.0,Comedy,1,actress,7.1,43,Maxine Bahns
tt0228992,An Outgoing Woman,2000,118.0,Drama,1,actress,6.1,144,Agnès Jaoui
tt0229002,Green Dragon,2001,115.0,Drama,1,actor,6.1,1151,Patrick Swayze
tt0229003,New Port South,2001,95.0,Drama,1,actor,4.9,554,Kevin Christy
tt0229211,America So Beautiful,2001,91.0,Drama,1,actress,5.2,189,Atossa Leoni
tt0229226,Girlfriends,2000,96.0,Drama,1,actress,6.4,104,Julie Leclercq
tt0229752,Straight Right,2000,81.0,Drama,1,actor,4.9,112,Brent Smith
tt0229942,7-Teen Sips,2000,90.0,Drama,1,actress,5.5,94,Heather Bergdahl
tt0230056,The Bunk Witch Project,2000,70.0,Comedy,1,actor,5.2,32,Mark Bate
tt0230189,Entre la tarde y la noche,2000,105.0,Drama,1,actress,6.7,42,Angélica Aragón
tt0230212,The Final Journey,2010,120.0,Drama,1,actor,8.9,11,R.J. Adams
tt0230252,Better Housekeeping,2000,90.0,Comedy,1,actor,6.8,82,Bob Jay Mills
tt0230540,Pale Blue Moon,2002,86.0,Sci-Fi,1,actress,4.2,160,Brittany Parvin
tt0230631,A Perfect Son,2000,89.0,Drama,1,actor,6.4,348,Colm Feore
tt0230783,Signs & Wonders,2000,105.0,Drama,1,actor,5.9,650,Stellan Skarsgård
tt0231153,The Announcement,2000,90.0,Drama,1,actor,6.0,72,Mark Addy
tt0231496,Drive In,2000,77.0,Horror,1,actor,3.3,248,Brenton Earley
tt0232231,Ophelia Learns to Swim,2001,88.0,Comedy,1,actress,5.2,41,Julia Lee
tt0233402,The Cactus Kid,2000,92.0,Adventure,1,actor,6.3,99,William R. Moses
tt0233911,Ice Men,2004,108.0,Drama,1,actor,6.0,489,Martin Cummins
tt0234393,One of the Hollywood Ten,2000,109.0,Drama,1,actor,6.2,354,Jeff Goldblum
tt0234407,Our Song,2000,95.0,Drama,1,actress,6.9,822,Kerry Washington
tt0234750,Small Time Obsession,2000,119.0,Drama,1,actor,7.1,55,Alex King
tt0235079,The Island Tales,2000,103.0,Drama,1,actor,5.3,112,Takao Osawa
tt0235252,Calling Bobcat,2000,91.0,Comedy,1,actor,5.7,117,Jayce Bartok
tt0235497,Jolly Roger,2001,95.0,Family,1,actor,3.6,309,Kim Bodnia
tt0235547,Little Heroes 2,2000,90.0,Comedy,1,actor,5.8,96,Thomas Garner
tt0235877,West Coast,2000,90.0,Drama,1,actress,8.4,48,Erica Shaffer
